Transect,Chaetodon_argentatus,Chaetodon_auripes,Chaetodon_cf_auriga,Chaetodon_cf_citrinellus,Chaetodon_cf_octofasciatus,Chaetodon_cf_trifascialis,Chaetodon_cf_vagabundus,Chaetodon_kleinii,Chaetodon_lineolatus,Chaetodon_lunulatus,Chaetodon_melannotus,Chaetodon_ornatissimus,Chaetodon_punctatofasciatus,Chaetodon_reticulatus,Chaetodon_speculum,Chaetodon_unimaculatus,Forcipiger_flavissimus,Hemitaurichthys_polylepis,Heniochus_acuminatus,Heniochus_monoceros,Heniochus_varius
N_GA_10_T1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
N_GA_10_T2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N_GA_10_T3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_GA_10_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_GA_10_T5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
N_LD_15_T1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_LD_15_T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_LD_15_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_LD_15_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_LD_15_T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_LD_5_T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_LD_5_T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_LD_5_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_LD_5_T4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_LD_5_T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MA_10_T1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N_MA_10_T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MA_10_T3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
